Active 	 O
learning 	 O
can 	 O
play 	 O
an 	 O
important 	 O
role 	 O
in 	 O
low 	 O
- 	 O
resource 	 O
settings 	 O
( 	 O
i.e. 	 O
, 	 O
where 	 O
annotated 	 B
data 	 I
is 	 O
scarce 	 O
) 	 O
, 	 O
by 	 O
selecting 	 O
which 	 O
instances 	 O
may 	 O
be 	 O
more 	 O
worthy 	 O
to 	 O
annotate 	 O
. 	 O
Most 	 O
active 	 B
learning 	 I
approaches 	 O
for 	 O
Machine 	 B
Translation 	 I
assume 	 O
the 	 O
existence 	 O
of 	 O
a 	 O
pool 	 O
of 	 O
sentences 	 O
in 	 O
a 	 O
source 	 B
language 	 I
, 	 O
and 	 O
rely 	 O
on 	 O
human 	 B
annotators 	 I
to 	 O
provide 	 O
translations 	 B
or 	 O
post 	 B
- 	 I
edits 	 I
, 	 O
which 	 O
can 	 O
still 	 O
be 	 O
costly 	 O
. 	 O
In 	 O
this 	 O
article 	 O
, 	 O
we 	 O
apply 	 O
active 	 B
learning 	 I
to 	 O
a 	 O
real 	 O
- 	 O
world 	 O
human 	 B
- 	 I
in 	 I
- 	 I
the 	 I
- 	 I
loop 	 I
scenario 	 O
in 	 O
which 	 O
we 	 O
assume 	 O
that 	 O
: 	 O
( 	 O
1 	 O
) 	 O
the 	 O
source 	 B
sentences 	 I
may 	 O
not 	 O
be 	 O
readily 	 O
available 	 O
, 	 O
but 	 O
instead 	 O
arrive 	 O
in 	 O
a 	 O
stream 	 B
; 	 O
( 	 O
2 	 O
) 	 O
the 	 O
automatic 	 B
translations 	 I
receive 	 O
feedback 	 B
in 	 O
the 	 O
form 	 O
of 	 O
a 	 O
rating 	 O
, 	 O
instead 	 O
of 	 O
a 	 O
correct 	 O
/ 	 O
edited 	 B
translation 	 I
, 	 O
since 	 O
the 	 O
human 	 B
- 	 I
in 	 I
- 	 I
the 	 I
- 	 I
loop 	 I
might 	 O
be 	 O
a 	 O
user 	 O
looking 	 O
for 	 O
a 	 O
translation 	 B
, 	 O
but 	 O
not 	 O
be 	 O
able 	 O
to 	 O
provide 	 O
one 	 O
. 	 O
To 	 O
tackle 	 O
the 	 O
challenge 	 O
of 	 O
deciding 	 O
whether 	 O
each 	 O
incoming 	 O
pair 	 O
source 	 B
translations 	 I
is 	 O
worthy 	 O
to 	 O
query 	 O
for 	 O
human 	 B
feedback 	 I
, 	 O
we 	 O
resort 	 O
to 	 O
a 	 O
number 	 O
of 	 O
stream 	 B
- 	 I
based 	 I
active 	 B
learning 	 I
query 	 B
strategies 	 I
. 	 O
Moreover 	 O
, 	 O
because 	 O
we 	 O
do 	 O
not 	 O
know 	 O
in 	 O
advance 	 O
which 	 O
query 	 B
strategy 	 I
will 	 O
be 	 O
the 	 O
most 	 O
adequate 	 O
for 	 O
a 	 O
certain 	 O
language 	 B
pair 	 I
and 	 O
set 	 O
of 	 O
Machine 	 B
